name,first_publication_year,career_stage,gender,orcid_id,year,times_cited,coauthor_M,coauthor_F,coauthor_count,coauthor_country,group
Jiuann-Huey Lin,1998.0,Senior,U,0000-0003-3029-6079,2023,1,0,3,6,"{'United States': 7, 'China': 1}",Control
Niranjan Vijayakumar,2019.0,Early,M,0000-0002-6529-7779,2023,0,12,7,20,{'United States': 16},Control
Niranjan Vijayakumar,2019.0,Early,M,0000-0002-6529-7779,2023,2,8,7,25,{'United States': 53},Control
Nikola Dragisic,2020.0,Early,M,0000-0002-9958-3212,2023,1,1,1,4,{'United States': 4},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,4,"{'United States': 5, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,5,5,12,{'United States': 12},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,1,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,3,1,1,5,{'United States': 9},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,4,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,1,2,0,5,"{'United States': 4, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,2,0,7,{'United States': 12},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,0,3,{'United States': 5},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,2,0,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,4,0,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,5,"{'Mexico': 1, 'United States': 4}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,3,10,"{'United States': 12, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,2,3,3,7,{'United States': 7},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,8,6,2,16,{'United States': 17},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,0,6,"{'Mexico': 2, 'United States': 8}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,0,4,{'United States': 11},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,1,7,{'United States': 9},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,2,8,7,25,{'United States': 53},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2017,1,1,0,2,{'United States': 4},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2017,6,1,0,2,{'United States': 4},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,4,"{'United States': 5, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,5,5,12,{'United States': 12},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,1,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,3,1,1,5,{'United States': 9},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,4,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,1,2,0,5,"{'United States': 4, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,2,0,7,{'United States': 12},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,0,3,{'United States': 5},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,2,0,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,4,0,5,{'United States': 2},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,1,0,5,"{'Mexico': 1, 'United States': 4}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,3,10,"{'United States': 12, 'Mexico': 1}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,2,3,3,7,{'United States': 7},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,8,6,2,16,{'United States': 17},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,0,6,"{'Mexico': 2, 'United States': 8}",Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,0,3,0,4,{'United States': 11},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,4,3,1,7,{'United States': 9},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2023,2,8,7,25,{'United States': 53},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2017,1,1,0,2,{'United States': 4},Control
Saul Flores,2014.0,Early,M,0000-0002-6274-5775,2017,6,1,0,2,{'United States': 4},Control
Breyanna Reachi,2020.0,Early,F,0000-0001-5707-2679,2023,8,3,2,6,{'United States': 6},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,1,2,3,5,{'United States': 1},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,1,0,4,4,{'United States': 2},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,3,2,5,{'United States': 4},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,5,6,8,14,{'United States': 24},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,1,1,4,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,0,2,4,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,2,2,6,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,1,3,5,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,0,1,4,{},Control
